sheet,cell,formula
لیست حقوق,F12,=((قرارداد!J11/7.33)+(قرارداد!J11/7.33)*40/100)*قرارداد!R11
لیست حقوق,G12,=H12*15/100
لیست حقوق,H12,=C12*قرارداد!J11
لیست حقوق,I12,"=قرارداد!L11*IF(C12>30,30,C12)"
لیست حقوق,J12,"=IF(C12>30,30,C12)*قرارداد!M11"
لیست حقوق,K12,"=IF(C12>30,30,C12)*قرارداد!N11"
لیست حقوق,L12,"=IF(C12>30,30,C12)*قرارداد!O11"
لیست حقوق,M12,=C12*قرارداد!P11
لیست حقوق,N12,=قرارداد!Q11*'لیست حقوق'!C12
لیست حقوق,P12,=((قرارداد!J11/7.33)+(قرارداد!J11/7.33)*40/100)*(O12)
لیست حقوق,Q12,=H12+L12+M12+N12+P12+I12+J12+K12+F12+G12
لیست حقوق,R12,=Z12*7/100
لیست حقوق,S12,='جدول مالیات'!L11
لیست حقوق,W12,=R12+S12+T12+U12+V12
لیست حقوق,X12,=-(Q12-W12-Y12)
لیست حقوق,Y12,"=MAX(0, ROUND(Q12-W12,-3))"
لیست حقوق,Z12,"=IFERROR(IF((Q12-L12)<(قرارداد!$C$2*30*7),(Q12-L12),(قرارداد!$C$2*7*C12)),0)"
لیست حقوق,B13,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B12,قرارداد!C12)"
لیست حقوق,E13,=C13-D13
لیست حقوق,F13,=((قرارداد!J12/7.33)+(قرارداد!J12/7.33)*40/100)*قرارداد!R12
لیست حقوق,H13,=C13*قرارداد!J12
لیست حقوق,I13,"=قرارداد!L12*IF(C13>30,30,C13)"
لیست حقوق,J13,"=IF(C13>30,30,C13)*قرارداد!M12"
لیست حقوق,K13,"=IF(C13>30,30,C13)*قرارداد!N12"
لیست حقوق,L13,"=IF(C13>30,30,C13)*قرارداد!O12"
لیست حقوق,M13,=C13*قرارداد!P12
لیست حقوق,N13,=قرارداد!Q12*'لیست حقوق'!C13
لیست حقوق,P13,=((5176500/7.33)+(5176500/7.33)*40/100)*(O13)
لیست حقوق,Q13,=H13+L13+M13+N13+P13+I13+J13+K13+F13+G13
لیست حقوق,R13,=Z13*7/100
لیست حقوق,S13,='جدول مالیات'!L12
لیست حقوق,W13,=R13+S13+T13+U13+V13
لیست حقوق,X13,=-(Q13-W13-Y13)
لیست حقوق,Y13,"=MAX(0, ROUND(Q13-W13,-3))"
لیست حقوق,Z13,"=IFERROR(IF((Q13-L13)<(قرارداد!$C$2*30*7),(Q13-L13),(قرارداد!$C$2*7*C13)),0)"
لیست حقوق,B14,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B13,قرارداد!C13)"
لیست حقوق,E14,=C14-D14
لیست حقوق,F14,=((قرارداد!J13/7.33)+(قرارداد!J13/7.33)*40/100)*قرارداد!R13
لیست حقوق,H14,=C14*قرارداد!J13
لیست حقوق,I14,"=قرارداد!L13*IF(C14>30,30,C14)"
لیست حقوق,J14,"=IF(C14>30,30,C14)*قرارداد!M13"
لیست حقوق,K14,"=IF(C14>30,30,C14)*قرارداد!N13"
لیست حقوق,L14,"=IF(C14>30,30,C14)*قرارداد!O13"
لیست حقوق,M14,=C14*قرارداد!P13
لیست حقوق,N14,=قرارداد!Q13*'لیست حقوق'!C14
لیست حقوق,P14,=((5176500/7.33)+(5176500/7.33)*40/100)*(O14)
لیست حقوق,Q14,=H14+L14+M14+N14+P14+I14+J14+K14+F14+G14
لیست حقوق,W14,=R14+S14+T14+U14+V14
لیست حقوق,X14,=-(Q14-W14-Y14)
لیست حقوق,Y14,"=MAX(0, ROUND(Q14-W14,-3))"
لیست حقوق,B15,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B14,قرارداد!C14)"
لیست حقوق,E15,=C15-D15
لیست حقوق,F15,=((قرارداد!J14/7.33)+(قرارداد!J14/7.33)*40/100)*قرارداد!R14
لیست حقوق,H15,=C15*قرارداد!J14
لیست حقوق,I15,"=قرارداد!L14*IF(C15>30,30,C15)"
لیست حقوق,J15,"=IF(C15>30,30,C15)*قرارداد!M14"
لیست حقوق,K15,"=IF(C15>30,30,C15)*قرارداد!N14"
لیست حقوق,L15,"=IF(C15>30,30,C15)*قرارداد!O14"
لیست حقوق,M15,=C15*قرارداد!P14
لیست حقوق,N15,=قرارداد!Q14*'لیست حقوق'!C15
لیست حقوق,P15,=((قرارداد!J14/7.33)+(قرارداد!J14/7.33)*40/100)*(O15)
لیست حقوق,Q15,=H15+L15+M15+N15+P15+I15+J15+K15+F15+G15
لیست حقوق,R15,=Z15*7/100
لیست حقوق,S15,='جدول مالیات'!L14
لیست حقوق,W15,=R15+S15+T15+U15+V15
لیست حقوق,X15,=-(Q15-W15-Y15)
لیست حقوق,Y15,"=MAX(0, ROUND(Q15-W15,-3))"
لیست حقوق,Z15,"=IFERROR(IF((Q15-L15)<(قرارداد!$C$2*30*7),(Q15-L15),(قرارداد!$C$2*7*C15)),0)"
لیست حقوق,B16,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B15,قرارداد!C15)"
لیست حقوق,E16,=C16-D16
لیست حقوق,F16,=((قرارداد!J15/7.33)+(قرارداد!J15/7.33)*40/100)*قرارداد!R15
لیست حقوق,H16,=C16*قرارداد!J15
لیست حقوق,I16,"=قرارداد!L15*IF(C16>30,30,C16)"
لیست حقوق,J16,"=IF(C16>30,30,C16)*قرارداد!M15"
لیست حقوق,K16,"=IF(C16>30,30,C16)*قرارداد!N15"
لیست حقوق,L16,"=IF(C16>30,30,C16)*قرارداد!O15"
لیست حقوق,M16,=C16*قرارداد!P15
لیست حقوق,N16,=قرارداد!Q15*'لیست حقوق'!C16
لیست حقوق,P16,=((قرارداد!J15/7.33)+(قرارداد!J15/7.33)*40/100)*(O16)
لیست حقوق,Q16,=H16+L16+M16+N16+P16+I16+J16+K16+F16+G16
لیست حقوق,W16,=R16+S16+T16+U16+V16
لیست حقوق,X16,=-(Q16-W16-Y16)
لیست حقوق,Y16,"=MAX(0, ROUND(Q16-W16,-3))"
لیست حقوق,B17,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B16,قرارداد!C16)"
لیست حقوق,E17,=C17-D17
لیست حقوق,F17,=((قرارداد!J16/7.33)+(قرارداد!J16/7.33)*40/100)*قرارداد!R16
لیست حقوق,H17,=C17*قرارداد!J16
لیست حقوق,I17,"=قرارداد!L16*IF(C17>30,30,C17)"
لیست حقوق,J17,"=IF(C17>30,30,C17)*قرارداد!M16"
لیست حقوق,K17,"=IF(C17>30,30,C17)*قرارداد!N16"
لیست حقوق,L17,"=IF(C17>30,30,C17)*قرارداد!O16"
لیست حقوق,M17,=C17*قرارداد!P16
لیست حقوق,N17,=قرارداد!Q16*'لیست حقوق'!C17
لیست حقوق,P17,=((قرارداد!J16/7.33)+(قرارداد!J16/7.33)*40/100)*(O17)
لیست حقوق,Q17,=H17+L17+M17+N17+P17+I17+J17+K17+F17+G17
لیست حقوق,R17,=Z17*7/100
لیست حقوق,S17,='جدول مالیات'!L16
لیست حقوق,W17,=R17+S17+T17+U17+V17
لیست حقوق,X17,=-(Q17-W17-Y17)
لیست حقوق,Y17,"=MAX(0, ROUND(Q17-W17,-3))"
لیست حقوق,Z17,"=IFERROR(IF((Q17-L17)<(قرارداد!$C$2*30*7),(Q17-L17),(قرارداد!$C$2*7*C17)),0)"
لیست حقوق,B18,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B17,قرارداد!C17)"
لیست حقوق,E18,=C18-D18
لیست حقوق,F18,=((قرارداد!J17/7.33)+(قرارداد!J17/7.33)*40/100)*قرارداد!R17
لیست حقوق,H18,=C18*قرارداد!J17-Y17
لیست حقوق,I18,"=قرارداد!L17*IF(C18>30,30,C18)"
لیست حقوق,J18,"=IF(C18>30,30,C18)*قرارداد!M17"
لیست حقوق,K18,"=IF(C18>30,30,C18)*قرارداد!N17"
لیست حقوق,L18,"=IF(C18>30,30,C18)*قرارداد!O17"
لیست حقوق,M18,=C18*قرارداد!P17
لیست حقوق,N18,=قرارداد!Q17*'لیست حقوق'!C18
لیست حقوق,P18,=22500000*O18
لیست حقوق,Q18,=H18+L18+M18+N18+P18+I18+J18+K18+F18+G18
لیست حقوق,R18,=Z18*7/100
لیست حقوق,W18,=R18+S18+T18+U18+V18
لیست حقوق,X18,=-(Q18-W18-Y18)
لیست حقوق,Y18,"=MAX(0, ROUND(Q18-W18,-3))"
لیست حقوق,B19,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B18,قرارداد!C18)"
لیست حقوق,E19,=C19-D19
لیست حقوق,F19,=((قرارداد!J18/7.33)+(قرارداد!J18/7.33)*40/100)*قرارداد!R18
لیست حقوق,H19,=C19*قرارداد!J18
لیست حقوق,I19,"=قرارداد!L18*IF(C19>30,30,C19)"
لیست حقوق,J19,"=IF(C19>30,30,C19)*قرارداد!M18"
لیست حقوق,K19,"=IF(C19>30,30,C19)*قرارداد!N18"
لیست حقوق,L19,"=IF(C19>30,30,C19)*قرارداد!O18"
لیست حقوق,M19,=C19*قرارداد!P18
لیست حقوق,N19,=قرارداد!Q18*'لیست حقوق'!C19
لیست حقوق,P19,=((قرارداد!J18/7.33)+(قرارداد!J18/7.33)*40/100)*(O19)
لیست حقوق,Q19,=H19+L19+M19+N19+P19+I19+J19+K19+F19+G19
لیست حقوق,W19,=R19+S19+T19+U19+V19
لیست حقوق,X19,=-(Q19-W19-Y19)
لیست حقوق,Y19,"=MAX(0, ROUND(Q19-W19,-3))"
لیست حقوق,B20,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B19,قرارداد!C19)"
لیست حقوق,E20,=C20-D20
لیست حقوق,H20,=C20*قرارداد!J19
لیست حقوق,I20,"=قرارداد!L19*IF(C20>30,30,C20)"
لیست حقوق,J20,"=IF(C20>30,30,C20)*قرارداد!M19"
لیست حقوق,K20,"=IF(C20>30,30,C20)*قرارداد!N19"
لیست حقوق,L20,"=IF(C20>30,30,C20)*قرارداد!O19"
لیست حقوق,M20,=C20*قرارداد!P19
لیست حقوق,P20,=((قرارداد!J5/7.33)+(قرارداد!J5/7.33)*40/100)*(O20)
لیست حقوق,Q20,=H20+L20+M20+N20+P20+I20+J20+K20+F20+G20
لیست حقوق,R20,=Z20*7/100
لیست حقوق,S20,='جدول مالیات'!L19
لیست حقوق,W20,=R20+S20+T20+U20+V20
لیست حقوق,X20,=-(Q20-W20-Y20)
لیست حقوق,Y20,"=MAX(0, ROUND(Q20-W20,-3))"
لیست حقوق,Z20,"=IFERROR(IF((Q20-L20)<(قرارداد!$C$2*30*7),(Q20-L20),(قرارداد!$C$2*7*C20)),0)"
لیست حقوق,E21,=C21-D21
لیست حقوق,F21,=((قرارداد!J20/7.33)+(قرارداد!J20/7.33)*40/100)*قرارداد!R20
لیست حقوق,H21,=C21*قرارداد!J20
لیست حقوق,I21,"=قرارداد!L20*IF(C21>30,30,C21)"
لیست حقوق,J21,"=IF(C21>30,30,C21)*قرارداد!M20"
لیست حقوق,K21,"=IF(C21>30,30,C21)*قرارداد!N20"
لیست حقوق,L21,"=IF(C21>30,30,C21)*قرارداد!O20"
لیست حقوق,M21,=C21*قرارداد!P20
لیست حقوق,N21,=قرارداد!Q20*'لیست حقوق'!C21
لیست حقوق,P21,=((قرارداد!J20/7.33)+(قرارداد!J20/7.33)*40/100)*(O21)
لیست حقوق,Q21,=H21+L21+M21+N21+P21+I21+J21+K21+F21+G21
لیست حقوق,W21,=R21+S21+T21+U21+V21
لیست حقوق,X21,=-(Q21-W21-Y21)
لیست حقوق,Y21,"=MAX(0, ROUND(Q21-W21,-3))"
لیست حقوق,B22,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B21,قرارداد!C21)"
لیست حقوق,B23,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B22,قرارداد!C22)"
لیست حقوق,B24,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B23,قرارداد!C23)"
لیست حقوق,B25,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B24,قرارداد!C24)"
لیست حقوق,C26,=SUM(C6:C25)
لیست حقوق,D26,=SUM(D6:D25)
لیست حقوق,E26,=SUM(E6:E25)
لیست حقوق,F26,=SUM(F6:F25)
لیست حقوق,G26,=SUM(G6:G25)
لیست حقوق,H26,=SUM(H6:H25)
لیست حقوق,I26,=SUM(I6:I25)
لیست حقوق,J26,=SUM(J6:J25)
لیست حقوق,K26,=SUM(K6:K25)
لیست حقوق,L26,=SUM(L6:L25)
لیست حقوق,M26,=SUM(M6:M25)
لیست حقوق,N26,=SUM(N6:N25)
لیست حقوق,O26,=SUM(O6:O25)
لیست حقوق,P26,=SUM(P6:P25)
لیست حقوق,Q26,=SUM(Q6:Q25)
لیست حقوق,R26,=SUM(R6:R25)
لیست حقوق,S26,=SUM(S6:S25)
لیست حقوق,T26,=SUM(T6:T25)
لیست حقوق,U26,=SUM(U6:U25)
لیست حقوق,V26,=SUM(V6:V25)
لیست حقوق,W26,=SUM(W6:W25)
لیست حقوق,X26,=SUM(X6:X25)
لیست حقوق,Y26,=SUM(Y6:Y25)
لیست حقوق,Z26,=SUM(Z6:Z25)
لیست حقوق,R27,=Z26*20%
لیست حقوق,R28,=Z26*3%
لیست حقوق,P29,=R27+R28+Q26+S26
لیست حقوق,R29,=R26+R27+R28
فیش حقوقی,F2,"=CONCATENATE( 'لیست حقوق'!W2,"" "",'لیست حقوق'!Y2)"
فیش حقوقی,D3,"=VLOOKUP(B3,'لیست حقوق'!A3:B34,2,0)"
فیش حقوقی,F3,"=VLOOKUP(B3,قرارداد!A4:D29,4,0)"
فیش حقوقی,B5,"=VLOOKUP('فیش حقوقی'!B3,'لیست حقوق'!A6:C34,3,0)"
فیش حقوقی,D5,"=VLOOKUP(B3,'لیست حقوق'!A6:Z34,8,0)"
فیش حقوقی,F5,"=VLOOKUP(B3,'لیست حقوق'!A6:X34,18,0)"
فیش حقوقی,D6,"=VLOOKUP(B3,'لیست حقوق'!A6:Z34,9,0)"
فیش حقوقی,D7,"=VLOOKUP(B3,'لیست حقوق'!A6:Z34,10,0)"
فیش حقوقی,F7,"=VLOOKUP(B$3,'لیست حقوق'!A5:X33,19,0)"
فیش حقوقی,B8,"=VLOOKUP(B3,'لیست حقوق'!A6:O34,15,0)"
فیش حقوقی,D8,"=VLOOKUP(B3,'لیست حقوق'!A6:X34,11,0)"
فیش حقوقی,D9,"=VLOOKUP(B3,'لیست حقوق'!A6:X34,12,0)"
فیش حقوقی,F9,"=VLOOKUP(B$3,'لیست حقوق'!A5:X33,20,0)"
فیش حقوقی,D10,"=VLOOKUP(B3,'لیست حقوق'!A6:X34,7,0)"
فیش حقوقی,B11,"=VLOOKUP('فیش حقوقی'!B3,'لیست حقوق'!A6:D34,4,0)"
فیش حقوقی,D11,"=VLOOKUP(B3,'لیست حقوق'!A6:X34,13,0)"
فیش حقوقی,F11,"=VLOOKUP(B$3,'لیست حقوق'!A5:X33,22,0)"
فیش حقوقی,D12,"=VLOOKUP(B3,'لیست حقوق'!A6:X34,14,0)"
فیش حقوقی,D13,"=VLOOKUP(B3,'لیست حقوق'!A6:X34,16,0)"
فیش حقوقی,D14,"=VLOOKUP(B3,'لیست حقوق'!A6:X34,6,0)"
فیش حقوقی,D15,=SUM(D5:D14)
فیش حقوقی,F15,=SUM(F5:F14)
فیش حقوقی,D16,"=VLOOKUP(B3,'لیست حقوق'!A6:X34,24,0)"
فیش حقوقی,D17,"=VLOOKUP(B3,'لیست حقوق'!A6:Z34,25,0)"
مرخصی ها,B4,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B5,قرارداد!C5)"
مرخصی ها,O4,=SUM(C4:N4)
مرخصی ها,B5,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B6,قرارداد!C6)"
مرخصی ها,O5,=SUM(C5:N5)
مرخصی ها,B6,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B7,قرارداد!C7)"
مرخصی ها,O6,=SUM(C6:N6)
مرخصی ها,B7,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B8,قرارداد!C8)"
مرخصی ها,O7,=SUM(C7:N7)
مرخصی ها,B8,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B9,قرارداد!C9)"
مرخصی ها,O8,=SUM(C8:N8)
مرخصی ها,B9,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B10,قرارداد!C10)"
مرخصی ها,O9,=SUM(C9:N9)
مرخصی ها,B10,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B11,قرارداد!C11)"
مرخصی ها,O10,=SUM(C10:N10)
مرخصی ها,B11,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B12,قرارداد!C12)"
مرخصی ها,O11,=SUM(C11:N11)
مرخصی ها,B12,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B13,قرارداد!C13)"
مرخصی ها,O12,=SUM(C12:N12)
مرخصی ها,B13,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B14,قرارداد!C14)"
مرخصی ها,O13,=SUM(C13:N13)
مرخصی ها,B14,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B15,قرارداد!C15)"
مرخصی ها,O14,=SUM(C14:N14)
مرخصی ها,B15,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B16,قرارداد!C16)"
مرخصی ها,O15,=SUM(C15:N15)
مرخصی ها,B16,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B17,قرارداد!C17)"
مرخصی ها,O16,=SUM(C16:N16)
مرخصی ها,B17,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B18,قرارداد!C18)"
مرخصی ها,O17,=SUM(C17:N17)
مرخصی ها,B18,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B19,قرارداد!C19)"
مرخصی ها,O18,=SUM(C18:N18)
مرخصی ها,B19,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B20,قرارداد!C20)"
مرخصی ها,O19,=SUM(C19:N19)
مرخصی ها,B20,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B21,قرارداد!C21)"
مرخصی ها,O20,=SUM(C20:N20)
مرخصی ها,B21,"=_xlfn.TEXTJOIN("" "",TRUE,قرارداد!B22,قرارداد!C22)"
مرخصی ها,O21,=SUM(C21:N21)
مساعده ها,C7,=SUM(C1:C6)
